"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2019-Q1","Mar-2019",-9.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2019-Q2","Jun-2019",-9.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2019-Q3","Sep-2019",-3.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2019-Q4","Dec-2019",4.1,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2020-Q1","Mar-2020",10.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2020-Q2","Jun-2020",8.8,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2020-Q3","Sep-2020",4.7,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2020-Q4","Dec-2020",2.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q1","Mar-2019",-7.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q2","Jun-2019",-8.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q3","Sep-2019",-8.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q4","Dec-2019",-7.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q1","Mar-2020",-5.3,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q2","Jun-2020",-4.1,"i","imputed"
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q3","Sep-2020",-1.3,"i","imputed"
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q4","Dec-2020",1.1,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2019-Q1","Mar-2019",-3.9,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2019-Q2","Jun-2019",-0.5,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2019-Q3","Sep-2019",3.6,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2019-Q4","Dec-2019",4.7,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2020-Q1","Mar-2020",1.9,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2020-Q2","Jun-2020",-2.2,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2020-Q3","Sep-2020",1,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2020-Q4","Dec-2020",3,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-1.5,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-0.9,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q3","Sep-2019",0.9,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q4","Dec-2019",2,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q1","Mar-2020",1.1,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q2","Jun-2020",-0.9,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q3","Sep-2020",1.6,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q4","Dec-2020",2.9,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q1","Mar-2019",-3,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q2","Jun-2019",-0.8,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q3","Sep-2019",2.5,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q4","Dec-2019",3.4,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q1","Mar-2020",0.7,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q2","Jun-2020",-1.2,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q3","Sep-2020",0.3,,
"2","Percentage change from previous quarter","1","Attached dwellings","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q4","Dec-2020",1.8,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q1","Mar-2019",83.3,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q2","Jun-2019",81.1,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q3","Sep-2019",79,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q4","Dec-2019",78.5,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q1","Mar-2020",78.9,,
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q2","Jun-2020",77.8,"i","imputed"
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q3","Sep-2020",78,"i","imputed"
"1","Index Number","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2020-Q4","Dec-2020",79.4,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q1","Mar-2019",94.3,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q2","Jun-2019",91.9,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q3","Sep-2019",92.8,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q4","Dec-2019",92.7,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q1","Mar-2020",92.2,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q2","Jun-2020",90.3,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q3","Sep-2020",91.5,,
"1","Index Number","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q4","Dec-2020",93.5,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-2.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-3.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q3","Sep-2019",-2.6,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q4","Dec-2019",-0.5,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q1","Mar-2020",0.1,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q2","Jun-2020",-0.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q3","Sep-2020",0.3,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q4","Dec-2020",1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2019-Q1","Mar-2019",-11,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2019-Q2","Jun-2019",-10.1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2019-Q3","Sep-2019",-4.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2019-Q4","Dec-2019",4.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2020-Q1","Mar-2020",12,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2020-Q2","Jun-2020",9.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2020-Q3","Sep-2020",6.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","1GSYD","Greater Sydney","Q","Quarterly","2020-Q4","Dec-2020",5.3,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2019-Q1","Mar-2019",-0.2,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2019-Q2","Jun-2019",-0.6,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2019-Q3","Sep-2019",-0.3,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2019-Q4","Dec-2019",1.4,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2020-Q1","Mar-2020",0.4,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2020-Q2","Jun-2020",-0.8,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2020-Q3","Sep-2020",1.6,,
"2","Percentage change from previous quarter","3","Residential property","4GADE","Greater Adelaide","Q","Quarterly","2020-Q4","Dec-2020",2.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q1","Mar-2019",-0.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q2","Jun-2019",-0.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",-2.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",1.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",3.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",3.7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",6.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",6.3,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q1","Mar-2019",-3.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q2","Jun-2019",-5.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q3","Sep-2019",-3.1,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2019-Q4","Dec-2019",-1.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q1","Mar-2020",-2.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q2","Jun-2020",-1.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q3","Sep-2020",-1.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","5GPER","Greater Perth","Q","Quarterly","2020-Q4","Dec-2020",0.9,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",121.7,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",120.9,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q3","Sep-2019",121.8,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q4","Dec-2019",124,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q1","Mar-2020",124.8,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q2","Jun-2020",123.7,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q3","Sep-2020",125.6,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2020-Q4","Dec-2020",129,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q1","Mar-2019",139,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q2","Jun-2019",138.1,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q3","Sep-2019",141.5,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q4","Dec-2019",147.4,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q1","Mar-2020",150.3,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q2","Jun-2020",147.2,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q3","Sep-2020",148.6,,
"1","Index Number","2","Established houses","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q4","Dec-2020",153.8,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q1","Mar-2019",-7.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q2","Jun-2019",-7.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q3","Sep-2019",-3.7,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2019-Q4","Dec-2019",2.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q1","Mar-2020",7.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q2","Jun-2020",6.2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q3","Sep-2020",4.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q4","Dec-2020",3.6,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",-0.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",0.5,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q3","Sep-2019",1.3,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q4","Dec-2019",2.7,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q1","Mar-2020",2.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q2","Jun-2020",-0.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q3","Sep-2020",1.2,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q4","Dec-2020",3.1,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q1","Mar-2019",130.8,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q2","Jun-2019",131.6,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",129.7,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",134,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",135.4,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",136.5,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",137.7,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",142.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",3.8,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",1.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q3","Sep-2019",1.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q4","Dec-2019",4.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q1","Mar-2020",7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q2","Jun-2020",6.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q3","Sep-2020",5.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q4","Dec-2020",6.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q1","Mar-2019",0.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q2","Jun-2019",-0.4,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q3","Sep-2019",-1.1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q4","Dec-2019",0.4,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q1","Mar-2020",1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q2","Jun-2020",0.7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q3","Sep-2020",2.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q4","Dec-2020",3.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q1","Mar-2019",-8.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q2","Jun-2019",-8.6,,
